palavra,sent
graça,Positivo
prazer,Positivo
corrigir,Positivo
revolucionário,Positivo
revelação,Positivo
sagrado,Positivo
singular,Positivo
cumprimento,Positivo
abundância,Positivo
garantia,Positivo
protecção,Positivo
derrotando,Positivo
superar,Positivo
apaixonado,Positivo
benefício,Positivo
guerreiro,Positivo
aquecimento,Positivo
coragem,Positivo
talentos,Positivo
ama,Positivo
avançado,Positivo
brilho,Positivo
ótimo,Positivo
santuário,Positivo
romântico,Positivo
caridade,Positivo
proeminente,Positivo
inovação,Positivo
disposto,Positivo
felicidade,Positivo
avanços,Positivo
abundante,Positivo
exemplar,Positivo
acessível,Positivo
ídolo,Positivo
suportar,Positivo
nascer,Positivo
corretamente,Positivo
grandeza,Positivo
mérito,Positivo
conduzir,Positivo
favorito,Positivo
suave,Positivo
complementar,Positivo
mágico,Positivo
aclamado,Positivo
condução,Positivo
libertar,Positivo
suficientemente,Positivo
tesouro,Positivo
dourada,Positivo
emoções,Positivo
sabedoria,Positivo
tração,Positivo
restaurar,Positivo
excelência,Positivo
apropriado,Positivo
dignidade,Positivo
firme,Positivo
educado,Positivo
amistoso,Positivo
impressionante,Positivo
incrível,Positivo
lendário,Positivo
orgulho,Positivo
sensível,Positivo
resgatar,Positivo
eficácia,Positivo
experiente,Positivo
recomendação,Positivo
aproveitar,Positivo
glória,Positivo
dominado,Positivo
gratuito,Positivo
prosperidade,Positivo
santa,Positivo
sólida,Positivo
recomendações,Positivo
sustentável,Positivo
fidelidade,Positivo
preferencialmente,Positivo
chumbo,Positivo
cobrir,Positivo
vigilância,Positivo
prático,Positivo
recompensa,Positivo
anjo,Positivo
troféu,Positivo
vital,Positivo
correção,Positivo
compatível,Positivo
concorrer,Positivo
razoável,Positivo
agradável,Positivo
celebrado,Positivo
conforto,Positivo
dourado,Positivo
justo,Positivo
Premier,Positivo
silêncio,Positivo
novidade,Positivo
lealdade,Positivo
renome,Positivo
triunfo,Positivo
bonita,Positivo
melhora,Positivo
restaurado,Positivo
decisivo,Positivo
realista,Positivo
imenso,Positivo
estelar,Positivo
libertado,Positivo
elogios,Positivo
resistente,Positivo
positivos,Positivo
sobrevivente,Positivo
ícone,Positivo
informado,Positivo
distinto,Positivo
negociar,Positivo
racional,Positivo
surpreendente,Positivo
mágica,Positivo
heroína,Positivo
poço,Positivo
divino,Positivo
emoção,Positivo
livrar,Positivo
celebrar,Positivo
consistente,Positivo
trabalhador,Positivo
gratuitamente,Positivo
desportivo,Positivo
seriamente,Positivo
diversão,Positivo
homenageado,Positivo
legalmente,Positivo
entusiasmo,Positivo
beber,Positivo
abertamente,Positivo
estimular,Positivo
tolerância,Positivo
teólogo,Positivo
legítimo,Positivo
promotor,Positivo
maturidade,Positivo
celeste,Positivo
amoroso,Positivo
ultrapassar,Positivo
abrangente,Positivo
exato,Positivo
ganhos,Positivo
pacto,Positivo
lógico,Positivo
supremo,Positivo
admiração,Positivo
calma,Positivo
fino,Positivo
satisfazer,Positivo
autorizado,Positivo
confiável,Positivo
eterna,Positivo
prefere,Positivo
temperado,Positivo
elegante,Positivo
pronta,Positivo
realizações,Positivo
ilustre,Positivo
bonito,Positivo
monumental,Positivo
notavelmente,Positivo
saudável,Positivo
perfeição,Positivo
excepcional,Positivo
liderar,Positivo
fértil,Positivo
incentivar,Positivo
alegre,Positivo
favorita,Positivo
amada,Positivo
paciência,Positivo
superioridade,Positivo
engenho,Positivo
renascimento,Positivo
fair,Positivo
potente,Positivo
solid,Positivo
inovador,Positivo
reestruturação,Positivo
gênio,Positivo
extraordinário,Positivo
dinâmico,Positivo
promete,Positivo
autônoma,Positivo
privilégio,Positivo
substancial,Positivo
sucedendo,Positivo
respeitar,Positivo
solidariedade,Positivo
protetor,Positivo
prover,Positivo
flexibilidade,Positivo
abraço,Positivo
vitorioso,Positivo
best,Positivo
desejar,Positivo
complemento,Positivo
preferido,Positivo
criativo,Positivo
adoração,Positivo
colorido,Positivo
superou,Positivo
domina,Positivo
autônomo,Positivo
digno,Positivo
melhorado,Positivo
reformado,Positivo
milagre,Positivo
criativa,Positivo
curar,Positivo
eterno,Positivo
sábio,Positivo
atualizado,Positivo
elevar,Positivo
inocente,Positivo
gostar,Positivo
portátil,Positivo
lírico,Positivo
facilita,Positivo
imparcial,Positivo
flexível,Positivo
agilidade,Positivo
conveniente,Positivo
liberdades,Positivo
afinidade,Positivo
paraíso,Positivo
imparcialidade,Positivo
prontamente,Positivo
viável,Positivo
transparente,Positivo
impressionado,Positivo
jejum,Positivo
divertido,Positivo
recomenda,Positivo
amado,Positivo
modesto,Positivo
fiável,Positivo
ambicioso,Positivo
satisfeito,Positivo
atraente,Positivo
provado,Positivo
amigável,Positivo
limpar,Positivo
barato,Positivo
veracidade,Positivo
supremacia,Positivo
limpa,Positivo
comemorado,Positivo
agudo,Positivo
like,Positivo
erudito,Positivo
amar,Positivo
preferindo,Positivo
free,Positivo
coerente,Positivo
flutuante,Positivo
produtivo,Positivo
carinho,Positivo
apreciado,Positivo
leal,Positivo
aprovar,Positivo
bovino,Positivo
originalidade,Positivo
fresco,Positivo
engraçado,Positivo
apreciar,Positivo
substantivo,Positivo
milagres,Positivo
competitivo,Positivo
atrativo,Positivo
comprovado,Positivo
garantias,Positivo
limpo,Positivo
ultrapassou,Positivo
valioso,Positivo
qualificado,Positivo
místico,Positivo
íntimo,Positivo
ganhador,Positivo
aclamação,Positivo
memorável,Positivo
louvor,Positivo
beneficiar,Positivo
renovar,Positivo
gentil,Positivo
barata,Positivo
confortável,Positivo
suceder,Positivo
arrumar,Positivo
firmemente,Positivo
bravura,Positivo
razoavelmente,Positivo
patrão,Positivo
ligeiro,Positivo
querido,Positivo
fantástico,Positivo
prometido,Positivo
calmo,Positivo
sustentabilidade,Positivo
confiabilidade,Positivo
clareza,Positivo
preferida,Positivo
energético,Positivo
confiar,Positivo
voluntariamente,Positivo
diplomático,Positivo
renovada,Positivo
ágil,Positivo
hábil,Positivo
reto,Positivo
pacífico,Positivo
aliviar,Positivo
maduro,Positivo
acolher,Positivo
alívio,Positivo
espetacular,Positivo
reviver,Positivo
conveniência,Positivo
agradecimento,Positivo
positivamente,Positivo
firmar,Positivo
esplendor,Positivo
simplificada,Positivo
amo,Positivo
diversificado,Positivo
reconciliação,Positivo
talentoso,Positivo
obsessão,Positivo
alimentando,Positivo
bênção,Positivo
sensações,Positivo
favorecer,Positivo
sensual,Positivo
coerência,Positivo
exuberante,Positivo
remédio,Positivo
empreendedor,Positivo
simpático,Positivo
assegurando,Positivo
agradar,Positivo
bondade,Positivo
ético,Positivo
magnífico,Positivo
lisa,Positivo
suprema,Positivo
privilegiado,Positivo
carisma,Positivo
efectivo,Positivo
moralidade,Positivo
divertir,Positivo
reformar,Positivo
melhoramento,Positivo
poético,Positivo
nutrição,Positivo
perpendicular,Positivo
sorriso,Positivo
sofisticado,Positivo
imprimir,Positivo
emocionante,Positivo
conciliar,Positivo
excitação,Positivo
advogada,Positivo
promissor,Positivo
maravilhas,Positivo
enriquecimento,Positivo
autêntico,Positivo
aspirações,Positivo
love,Positivo
suportado,Positivo
surpreendido,Positivo
aperfeiçoar,Positivo
precioso,Positivo
preferível,Positivo
intimidade,Positivo
misericórdia,Positivo
sexy,Positivo
desfrutar,Positivo
surpreendentemente,Positivo
estimula,Positivo
aventureiro,Positivo
merecer,Positivo
excepcionalmente,Positivo
aprimoramento,Positivo
floração,Positivo
amanhecer,Positivo
sinceramente,Positivo
trompete,Positivo
elegância,Positivo
humildade,Positivo
maravilhosa,Positivo
gentileza,Positivo
refinado,Positivo
versatilidade,Positivo
versátil,Positivo
guiar,Positivo
futurista,Positivo
zelo,Positivo
maravilhoso,Positivo
intencional,Positivo
atento,Positivo
afeto,Positivo
admirador,Positivo
verificável,Positivo
lindo,Positivo
proeminência,Positivo
liso,Positivo
qualificar,Positivo
celestial,Positivo
oásis,Positivo
agradecer,Positivo
progressista,Positivo
incrivelmente,Positivo
estimar,Positivo
animador,Positivo
elogio,Positivo
veloz,Positivo
distintivo,Positivo
ricamente,Positivo
apóia,Positivo
delicado,Positivo
perito,Positivo
prolífico,Positivo
devoto,Positivo
cortesia,Positivo
fast,Positivo
satisfaz,Positivo
grátis,Positivo
entusiasta,Positivo
eminente,Positivo
incondicional,Positivo
jóia,Positivo
calado,Positivo
simplificar,Positivo
robusto,Positivo
charme,Positivo
grandioso,Positivo
saudação,Positivo
enriquecer,Positivo
desejando,Positivo
tranquilo,Positivo
gratidão,Positivo
preferir,Positivo
eternidade,Positivo
cofre,Positivo
beneficente,Positivo
articular,Positivo
honrar,Positivo
seguramente,Positivo
habilidoso,Positivo
otimista,Positivo
boom,Positivo
navegável,Positivo
fresca,Positivo
afeição,Positivo
honestidade,Positivo
parabéns,Positivo
grato,Positivo
provando,Positivo
luxuoso,Positivo
equilibrado,Positivo
querida,Positivo
honesto,Positivo
seletivo,Positivo
inspirar,Positivo
estilizado,Positivo
redenção,Positivo
seduzir,Positivo
generosidade,Positivo
esperto,Positivo
estabilizar,Positivo
encantado,Positivo
admirar,Positivo
próspero,Positivo
ardente,Positivo
acolhimento,Positivo
virtuoso,Positivo
ousadia,Positivo
generoso,Positivo
terno,Positivo
encorajar,Positivo
gostei,Positivo
desejável,Positivo
fluente,Positivo
corajoso,Positivo
honrado,Positivo
adiar,Positivo
folga,Positivo
estimulando,Positivo
compreensível,Positivo
aspiração,Positivo
fielmente,Positivo
work,Positivo
triunfal,Positivo
respeitável,Positivo
impressionar,Positivo
encanto,Positivo
poupança,Positivo
ousado,Positivo
duradouro,Positivo
saliente,Positivo
impulsionar,Positivo
espontâneo,Positivo
goza,Positivo
satisfatório,Positivo
espanto,Positivo
brilhar,Positivo
uniformemente,Positivo
régio,Positivo
heróica,Positivo
formidável,Positivo
inesquecível,Positivo
convincente,Positivo
acalmar,Positivo
sincero,Positivo
orgulhoso,Positivo
luminoso,Positivo
complementa,Positivo
abraçar,Positivo
carismático,Positivo
transe,Positivo
admirável,Positivo
nítida,Positivo
contente,Positivo
gemas,Positivo
prodígio,Positivo
pacificamente,Positivo
articulado,Positivo
gema,Positivo
master,Positivo
aquecer,Positivo
excede,Positivo
felizmente,Positivo
suplementar,Positivo
progredir,Positivo
inofensivo,Positivo
afluência,Positivo
heróico,Positivo
impecável,Positivo
lucrativo,Positivo
indiscutível,Positivo
exaltação,Positivo
agrada,Positivo
favorecido,Positivo
good,Positivo
providência,Positivo
destreza,Positivo
ilimitado,Positivo
valente,Positivo
apreciável,Positivo
vibrante,Positivo
extraordinariamente,Positivo
previdência,Positivo
lisos,Positivo
glorioso,Positivo
fans,Positivo
prudente,Positivo
né,Positivo
varredura,Positivo
salvador,Positivo
divertimento,Positivo
genial,Positivo
surpreender,Positivo
macio,Positivo
Inspirado,Positivo
fascinante,Positivo
euforia,Positivo
cativante,Positivo
well,Positivo
radiante,Positivo
invencibilidade,Positivo
fervor,Positivo
apelar,Positivo
autorizar,Positivo
sinceridade,Positivo
silencioso,Positivo
vantajoso,Positivo
honesta,Positivo
tolerante,Positivo
exceder,Positivo
cooperativo,Positivo
áurea,Positivo
reconciliar,Positivo
prudência,Positivo
benéfico,Positivo
adorado,Positivo
modern,Positivo
reverência,Positivo
prestigioso,Positivo
motivados,Positivo
gozar,Positivo
consistentemente,Positivo
revival,Positivo
invencível,Positivo
trompetista,Positivo
lisas,Positivo
animar,Positivo
sublime,Positivo
otimismo,Positivo
licor,Positivo
maravilha,Positivo
empatia,Positivo
prosperar,Positivo
intriga,Positivo
precise,Positivo
elástico,Positivo
feat,Positivo
personalizado,Positivo
serenidade,Positivo
fundamentado,Positivo
festivo,Positivo
decente,Positivo
granizo,Positivo
topos,Positivo
entusiasmado,Positivo
generosa,Positivo
perseverança,Positivo
amável,Positivo
convenientemente,Positivo
consumado,Positivo
instruído,Positivo
farto,Positivo
sincera,Positivo
facilitado,Positivo
ávido,Positivo
incontestável,Positivo
fiança,Positivo
profusão,Positivo
grand,Positivo
confidente,Positivo
aprecia,Positivo
florescer,Positivo
impressiona,Positivo
genuíno,Positivo
construtivo,Positivo
entreter,Positivo
inestimável,Positivo
personalizar,Positivo
majestade,Positivo
soft,Positivo
materialista,Positivo
êxtase,Positivo
hot,Positivo
florescente,Positivo
adivinhar,Positivo
restituição,Positivo
inoxidável,Positivo
great,Positivo
vigilante,Positivo
vencimento,Positivo
óptimo,Positivo
pelúcia,Positivo
inflamável,Positivo
revitalizar,Positivo
refino,Positivo
modéstia,Positivo
aurora,Positivo
remissão,Positivo
patriota,Positivo
iluminar,Positivo
áureo,Positivo
purificar,Positivo
ânsia,Positivo
eficientemente,Positivo
trunfo,Positivo
brisa,Positivo
encantada,Positivo
diligência,Positivo
tops,Positivo
satisfatoriamente,Positivo
patriótico,Positivo
irresistível,Positivo
intuitivo,Positivo
comodidade,Positivo
oportuno,Positivo
honroso,Positivo
bonus,Positivo
alavancar,Positivo
adorar,Positivo
available,Positivo
tranqüilidade,Positivo
gozo,Positivo
deslumbrante,Positivo
recomendar,Positivo
incomparável,Positivo
delicadeza,Positivo
polido,Positivo
majestoso,Positivo
harmonizar,Positivo
triunfante,Positivo
indubitavelmente,Positivo
enérgico,Positivo
stable,Positivo
aceso,Positivo
visionário,Positivo
pitoresco,Positivo
excitado,Positivo
sanar,Positivo
dócil,Positivo
premier,Positivo
motivar,Positivo
inquestionável,Positivo
inspiradora,Positivo
inigualável,Positivo
benfeitor,Positivo
arrojado,Positivo
revive,Positivo
soberba,Positivo
sedutor,Positivo
prometer,Positivo
doçura,Positivo
claridade,Positivo
atestar,Positivo
pros,Positivo
invejável,Positivo
confiando,Positivo
rosado,Positivo
retificação,Positivo
milagrosamente,Positivo
sensacional,Positivo
reafirmar,Positivo
inteligível,Positivo
greatest,Positivo
finamente,Positivo
solidez,Positivo
eloquência,Positivo
support,Positivo
magistral,Positivo
lead,Positivo
efervescência,Positivo
consolo,Positivo
eternos,Positivo
sucinto,Positivo
exuberância,Positivo
carinhoso,Positivo
better,Positivo
benevolente,Positivo
alegremente,Positivo
brincalhão,Positivo
habilmente,Positivo
cortês,Positivo
galã,Positivo
ardor,Positivo
brilhantemente,Positivo
comovente,Positivo
reestruturar,Positivo
apuradas,Positivo
ventilador,Positivo
benevolência,Positivo
aprimorada,Positivo
surreal,Positivo
fascinação,Positivo
agradecido,Positivo
eternas,Positivo
estábulo,Positivo
adaptativo,Positivo
trombeta,Positivo
ponderar,Positivo
charmoso,Positivo
fabuloso,Positivo
civilidade,Positivo
equidade,Positivo
almofada,Positivo
calouro,Positivo
redimir,Positivo
estranhar,Positivo
beneficiário,Positivo
sã,Positivo
gold,Positivo
infalível,Positivo
descontraído,Positivo
tenacidade,Positivo
satisfazendo,Positivo
elogiar,Positivo
adorável,Positivo
sereno,Positivo
sensato,Positivo
romanticamente,Positivo
harmonioso,Positivo
saudar,Positivo
fenomenal,Positivo
disparate,Positivo
survival,Positivo
requinte,Positivo
revolucionar,Positivo
pêssego,Positivo
works,Positivo
utilizável,Positivo
legível,Positivo
idealmente,Positivo
audível,Positivo
encorajamento,Positivo
amadurecer,Positivo
destemido,Positivo
legitimamente,Positivo
triunfar,Positivo
remediar,Positivo
reestruturado,Positivo
durável,Positivo
afirmativo,Positivo
empolgante,Positivo
desenvoltura,Positivo
delicioso,Positivo
predileto,Positivo
retrátil,Positivo
engenhoso,Positivo
nutrir,Positivo
inclinar,Positivo
destro,Positivo
confortavelmente,Positivo
apoiador,Positivo
admissível,Positivo
panorâmico,Positivo
eloquente,Positivo
sorrir,Positivo
louvável,Positivo
coeso,Positivo
privilegiar,Positivo
important,Positivo
perspicácia,Positivo
irreal,Positivo
esforçando,Positivo
alvorecer,Positivo
simplifica,Positivo
receptivo,Positivo
encantador,Positivo
altruísta,Positivo
tenaz,Positivo
sutilmente,Positivo
seduzido,Positivo
cumprimentar,Positivo
classic,Positivo
adaptável,Positivo
perspicaz,Positivo
indulgência,Positivo
alvorada,Positivo
strong,Positivo
infalibilidade,Positivo
enrolar,Positivo
refinar,Positivo
recompensar,Positivo
inequivocamente,Positivo
destinar,Positivo
requintado,Positivo
fraternal,Positivo
entusiasticamente,Positivo
mestria,Positivo
generosamente,Positivo
tremendamente,Positivo
tender,Positivo
louvar,Positivo
tranqüilo,Positivo
magnificência,Positivo
irrestrito,Positivo
gratificação,Positivo
vivamente,Positivo
gracioso,Positivo
espantoso,Positivo
lustre,Positivo
invulnerável,Positivo
deleite,Positivo
cool,Positivo
calorosamente,Positivo
sagacidade,Positivo
merecimento,Positivo
masters,Positivo
brilhando,Positivo
won,Positivo
calada,Positivo
subsidiar,Positivo
afiado,Positivo
sociável,Positivo
meticulosamente,Positivo
entusiasmada,Positivo
clear,Positivo
adocicado,Positivo
aderente,Positivo
vivaz,Positivo
ready,Positivo
progressive,Positivo
lúcido,Positivo
louvando,Positivo
empolgado,Positivo
eminência,Positivo
award,Positivo
apreciando,Positivo
refrescar,Positivo
espaçoso,Positivo
jovial,Positivo
emotivo,Positivo
conciso,Positivo
incisivo,Positivo
honrando,Positivo
embelezar,Positivo
fun,Positivo
ajustável,Positivo
chique,Positivo
aspirar,Positivo
retumbante,Positivo
ordenança,Positivo
endosso,Positivo
easy,Positivo
consumar,Positivo
simplificando,Positivo
wins,Positivo
sorridente,Positivo
win,Positivo
sabiamente,Positivo
refrescante,Positivo
fabulosa,Positivo
encantar,Positivo
destacável,Positivo
soberbo,Positivo
complementadas,Positivo
avidamente,Positivo
amigavelmente,Positivo
afável,Positivo
respeitoso,Positivo
peace,Positivo
milagroso,Positivo
isqueiro,Positivo
excitar,Positivo
arrumado,Positivo
sadia,Positivo
saboroso,Positivo
corajosamente,Positivo
advogou,Positivo
pináculo,Positivo
ovação,Positivo
suntuoso,Positivo
despistar,Positivo
saborear,Positivo
pontiagudo,Positivo
gratificante,Positivo
conciliador,Positivo
awards,Positivo
apaixonadamente,Positivo
meticuloso,Positivo
cênico,Positivo
intelligent,Positivo
despreocupado,Positivo
barganha,Positivo
suavizar,Positivo
revolucionaram,Positivo
pacientemente,Positivo
decência,Positivo
correct,Positivo
consolar,Positivo
centelha,Positivo
harmoniosamente,Positivo
excedido,Positivo
contribution,Positivo
compreensivo,Positivo
reafirmação,Positivo
penhor,Positivo
led,Positivo
fanfarra,Positivo
divinamente,Positivo
aquecedor,Positivo
angelical,Positivo
talent,Positivo
parabenizar,Positivo
heroicamente,Positivo
happy,Positivo
fine,Positivo
esclarecedor,Positivo
maravilhosamente,Positivo
fofo,Positivo
desejoso,Positivo
chamativo,Positivo
intrincado,Positivo
golden,Positivo
glorificar,Positivo
silenciar,Positivo
honor,Positivo
endividado,Positivo
diligente,Positivo
sobressair,Positivo
sina,Positivo
pródigo,Positivo
arrefecer,Positivo
smart,Positivo
maravilhado,Positivo
hero,Positivo
elegantemente,Positivo
esquentar,Positivo
encostar,Positivo
afecção,Positivo
verossímil,Positivo
imaginativo,Positivo
contentamento,Positivo
sacou,Positivo
crível,Positivo
cortejar,Positivo
aprontar,Positivo
venerar,Positivo
magnificamente,Positivo
magic,Positivo
insinuar,Positivo
hospitaleiro,Positivo
sorrisos,Positivo
resseguro,Positivo
portável,Positivo
frutífero,Positivo
zênite,Positivo
beauty,Positivo
sobrepujar,Positivo
prompt,Positivo
limpador,Positivo
evocativo,Positivo
esmero,Positivo
ardentemente,Positivo
aconchegante,Positivo
inventivo,Positivo
hilário,Positivo
ecstasy,Positivo
luxuriante,Positivo
enough,Positivo
endossar,Positivo
deferência,Positivo
abrandar,Positivo
appeal,Positivo
trust,Positivo
tolerável,Positivo
insubstituível,Positivo
espumante,Positivo
espirituoso,Positivo
clamar,Positivo
assombro,Positivo
acalmá,Positivo
quietude,Positivo
positive,Positivo
graciosamente,Positivo
compactar,Positivo
meticulosa,Positivo
indolor,Positivo
beautiful,Positivo
acurado,Positivo
alegrar,Positivo
progress,Positivo
individualizado,Positivo
champion,Positivo
abençoar,Positivo
success,Positivo
regozijo,Positivo
prodigioso,Positivo
expansivo,Positivo
excitada,Positivo
clean,Positivo
arrebatamento,Positivo
afetuoso,Positivo
skill,Positivo
obsessões,Positivo
gostosa,Positivo
fortuito,Positivo
spiritual,Positivo
poderosamente,Positivo
nice,Positivo
faith,Positivo
bonitinho,Positivo
aplaudir,Positivo
aliviando,Positivo
wonder,Positivo
prosperando,Positivo
intelligence,Positivo
inequívoco,Positivo
acérrimo,Positivo
respeitosamente,Positivo
compact,Positivo
advanced,Positivo
aclamar,Positivo
speedy,Positivo
esbelto,Positivo
safe,Positivo
leading,Positivo
desfrutado,Positivo
clarear,Positivo
misericordioso,Positivo
estonteante,Positivo
atencioso,Positivo
santificado,Positivo
discussão,Negativo
morte,Negativo
terra,Negativo
sede,Negativo
longo,Negativo
excentricidade,Negativo
estilo,Negativo
total,Negativo
mar,Negativo
aproximadamente,Negativo
criado,Negativo
usado,Negativo
problemas,Negativo
comum,Negativo
luta,Negativo
diagrama,Negativo
resultado,Negativo
alta,Negativo
divisão,Negativo
objetivo,Negativo
especialmente,Negativo
responsável,Negativo
bloqueio,Negativo
alto,Negativo
pequeno,Negativo
problema,Negativo
vice,Negativo
dado,Negativo
morreu,Negativo
ataque,Negativo
banco,Negativo
eliminação,Negativo
atenção,Negativo
disputa,Negativo
crítica,Negativo
perda,Negativo
literatura,Negativo
conflito,Negativo
completamente,Negativo
doença,Negativo
particular,Negativo
perdeu,Negativo
objeto,Negativo
evitar,Negativo
velho,Negativo
morto,Negativo
ataques,Negativo
prisão,Negativo
queda,Negativo
porto,Negativo
possibilidade,Negativo
acidente,Negativo
enorme,Negativo
inferior,Negativo
resistência,Negativo
condição,Negativo
sofreu,Negativo
exterior,Negativo
oposição,Negativo
crise,Negativo
ficção,Negativo
complexo,Negativo
críticas,Negativo
questões,Negativo
fusão,Negativo
mortos,Negativo
corrida,Negativo
risco,Negativo
retorno,Negativo
invasão,Negativo
golpe,Negativo
carga,Negativo
erro,Negativo
exploração,Negativo
eliminar,Negativo
dificuldades,Negativo
inimigos,Negativo
crime,Negativo
inimigo,Negativo
sítio,Negativo
limites,Negativo
perder,Negativo
matar,Negativo
diâmetro,Negativo
conflitos,Negativo
escravos,Negativo
infantil,Negativo
críticos,Negativo
mata,Negativo
parada,Negativo
tempestade,Negativo
punk,Negativo
destruição,Negativo
pena,Negativo
notoriedade,Negativo
erros,Negativo
âmbito,Negativo
responsabilidade,Negativo
dúvida,Negativo
lutar,Negativo
levado,Negativo
fluxo,Negativo
enredo,Negativo
cadeia,Negativo
posterior,Negativo
desejo,Negativo
audiência,Negativo
